の,of,no
出る,Leave,deru
出演,Performance,shutsuen
作る,create,tsukuru
基,Basis,moto
事業,business,jigyou
委員,Committee member,iin
バス,bus,basu
市,city,shi
以下,Less than,ika
社会,society,shakai
教育,education,kyouiku
事件,Incident,jiken
特に,in particular,tokuni
卒業,graduate,sotsugyou
役,Role,yaku
当初,At first,tousho
結果,result,kekka
選挙,election,senkyo
機関,organ,kikan
大きい,large,ookii
高等,Higher,koutou
獲得,Acquisition,kakutoku
政府,government,seifu
戦う,fight,tatakau
中国,China,chuugoku
最初,the first,saisho
設立,Establishment,setsuritsu
置く,Put,oku
種,seed,tane
金,Money,kin
建設,construction,kensetsu
派,Faction,ha
続く,Continue,tsuzuku
影響,Impact,eikyou
文化,culture,bunka
科,Department,ka
外,Outside,soto
デビュー,debut,debyuu
台,Table,dai
情報,information,jouhou
そして,And,soshite
航空,Aviation,koukuu
村,village,mura
政治,Politics,seiji
同様,Same,douyou
販売,Sale,hanbai
面,surface,men
異なる,different,kotonaru
担当,In charge of,tantou
最も,most,mottomo
寺,temple,tera
攻撃,attack,kougeki
人口,population,jinkou
ながら,Though,nagara
及び,as well as,oyobi
区,Ward,ku
馬,Horse,uma
プロ,Professional,puro
経済,Economy,keizai
付ける,wear,tsukeru
地区,district,chiku
与える,give away,atae ru
それぞれ,Respectively,sorezore
年間,Year,nenkan
水,water,mizu
構成,Constitution,kousei
路線,Route,rosen
射る,shoot,iru
アメリカ合衆国,United States of America,amerika gasshuukoku
米,Rice,kome
採用,Adopt,saiyou
伴う,Accompany,tomonau
主義,Principle,shugi
上げる,increase,age ru
グループ,group,guruupu
女性,Woman,josei
手,hand,te
システム,system,shisutemu
歴史,history,rekishi
意味,meaning,imi
一方,on the other hand,ippou
元,Origin,moto
県,Prefecture,ken
続ける,to continue,tsuzuke ru
技術,Technology,gijutsu
当たる,Hit,ata ru
うち,home,uchi
海軍,Navy,kaigun
公,public,kou
発生,Occurrence,hassei
製造,Production,seizou
自身,Own,jishin
車両,vehicle,sharyou
光,light,hikari
話,Story,hanashi
野球,baseball,yakyuu
調査,Research,chousa
船,ship,fune
シングル,single,shinguru
勝,Wins,kachi
列車,train,ressha
正,Regular,sei
父,father,chichi
活躍,Activity,katsuyaku
省,Ministry,shou
終了,End,shuuryou
文,Sentence,bun
初,First,hatsu
全国,Nationwide,zenkoku
収録,Recording,shuuroku
人物,person,jinbutsu
ロシア,Russia,roshia
渡る,Cross over,wataru
制作,Work,seisaku
就任,Assumption of office,shuunin
最後,last,saigo
書く,write,kaku
下,under,shita
エンジン,engine,enjin
状態,Status,joutai
かつて,Once,katsute
形,form,katachi
殆んど,殆Ndo,hoton do
橋,bridge,hashi
決定,Decision,kettei
経る,Experience,heru
組織,Organization,soshiki
イタリア,Italy,itaria
朝,Morning,asa
帝国,Empire,teikoku
生産,production,seisan
果たす,Fulfill,hata su
株式,stock,kabushiki
海,Ocean,umi
神,God,kami
年度,year,nendo
モデル,model,moderu
描く,Draw,egaku
道路,road,douro
制,Control,sei
次,Next,tsugi
但し,However,tadashi
議員,Rep.,giin
京都,Kyoto,kyouto
部分,part,bubun
漫画,Comic,manga
最大,maximum,saidai
名称,name,meishou
石,stone,ishi
員,Member,in
独立,Independence,dokuritsu
書,book,kaki
施設,Facility,shisetsu
場所,place,basho
県道,Prefectural road,kendou
始まる,Begin,hajima ru
示す,Show,shimesu
以降,Or later,ikou
様々,various,samazama
大きな,big,ooki na
クラブ,club,kurabu
機能,function,kinou
天,Heaven,ten
サッカー,Football,sakkaa
部隊,Force,butai
搭載,powered by,tousai
初めて,The first time,hajimete
兵,Soldier,hei
高校,high school,koukou
公開,Release,koukai
党,party,tou
編成,Organization,hensei
運動,motion,undou
量,amount,ryou
時期,season,jiki
センター,Center,sentaa
製作,Production,seisaku
藩,The clan,han
強い,strong,shii
企業,Company,kigyou
受賞,Winning,jushou
付く,Adhere,tsuku
院,Hospital,in
店,shop,mise
戦闘,combat,sentou
結ぶ,tie,musubu
目的,Purpose,mokuteki
通常,Normal,tsuujou
対応,Correspondence,taiou
残る,Remain,nokoru
勝利,victory,shouri
ホーム,home,hoomu
管理,management,kanri
至る,Arrive,itaru
団,Dan,dan
木,wood,ki
最終,Final,saishuu
基本,Basis,kihon
教授,Professor,kyouju
ドラマ,Drama,dorama
挙げる,Raise,age ru
構造,Construction,kouzou
作曲,Composition,sakkyoku
アニメ,Anime,anime
設計,design,sekkei
実施,Implementation,jisshi
現,Current,gen
長い,long,nagai
メンバー,member,menbaa
領,Ryo,ryou
交通,traffic,koutsuu
室,Room,shitsu
協会,Association,kyoukai
女子,Women,joshi
者,Person,mono
設定,Setting,settei
発見,Discovery,hakken
契約,Agreement,keiyaku
信,Trust,shin
英語,English language,eigo
生活,life,seikatsu
連合,Union,rengou
自動車,Automobile,jidousha
指揮,Command,shiki
色,color,shoku
自分,myself,jibun
及ぶ,Extend,oyobu
ラジオ,radio,rajio
歌,song,uta
重,Weight,juu
規模,scale,kibo
移籍,Transfers,iseki
思う,think,omou
廃止,Abolition,haishi
名前,given names,namae
重要,important,juuyou
成功,success,seikou
原,original,hara
予定,plans,yotei
特別,special,tokubetsu
認める,Admit,mitome ru
キャラクター,character,kyarakutaa
巻,roll,kan
最高,Highest,saikou
加える,Add,kuwae ru
ここ,here,koko
バンド,band,bando
再び,again,futatabi
武,Takeshi,takeshi
実際,Practical,jissai
そこ,There,soko
似る,Resemble,niru
組,set,kumi
運転,operation,unten
専門,Expert,senmon
出版,Publication,shuppan
内容,Content,naiyou
煎る,roast,iru
個,Individual,ko
小学校,primary school,shougakkou
義,Righteousness,gi
数,number,kazu
終わる,Ends,owa ru
例,Case,rei
リリース,release,ririisu
合わせる,match,awa seru
大戦,Great war,taisen
科学,Science,kagaku
運行,Service,unkou
対,versus,tsui
北海道,Hokkaido,hokkaidou
士,Samurai,samurai
ヨーロッパ,Europe,yooroppa
群,group,gun
少ない,Few,sukunai
指定,Designation,shitei
江戸,Edo,edo
ところ,Place,tokoro
陸軍,Army,rikugun
残す,leave,nokosu
教会,Church,kyoukai
期間,period,kikan
共和,Republic,kyouwa
前,Before,mae
国家,Nation,kokka
連続,Continuity,renzoku
門,gate,mon
導入,Introduction,dounyuu
記念,Commemoration,kinen
団体,Organization,dantai
結成,Formation,kessei
特徴,Features,tokuchou
または,Or,mataha
表記,Notation,hyouki
平,flat,taira
校,school,kou
宇宙,space,uchuu
総合,Synthesis,sougou
死去,Death,shikyo
小説,novel,shousetsu
大統領,President,daitouryou
公園,park,kouen
タイトル,title,taitoru
カード,card,kaado
警察,police,keisatsu
形式,format,keishiki
競技,The competition,kyougi
結婚,marriage,kekkon
参照,reference,sanshou
係わる,Affect,kakawa ru
夏,summer,natsu
ローマ,Rome,rooma
国民,People,kokumin
中学校,Junior high school,chuugakkou
評価,Evaluation,hyouka
オリンピック,Olympic,orinpikku
新た,new,arata
運営,Management, unei
選ぶ,Choose,erabu
完全,Perfect,kanzen
連邦,Federal,renpou
経営,management,keiei
条,Article,jou
指導,Leadership,shidou
会議,Conference,kaigi
谷,valley,tani
決勝,final,kesshou
英,English,ei
先,Previous,saki
展開,Expansion,tenkai
完成,Complete,kansei
品,Goods,hin
多数,Large number,tasuu
別,Different,betsu
周辺,Peripheral,shuuhen
子供,children,kodomo
対象,Target,taishou
事務,Business,jimu
概要,Overview,gaiyou
提供,Offer,teikyou
飛行,Flight,hikou
進む,move on,susumu
天皇,Emperor,tennou
田,Rice field,ta
娘,Daughter,musume
マン,man,man
市立,Municipal,shiritsu
サービス,service,saabisu
ほぼ,Almost,hobo
向かう,Face,muka u
扱う,deal with,atsukau
引退,Retirement,intai
あるいは,Or,aruiha
求める,Ask,motome ru
同時に,at the same time,doujini
男,Man,otoko
理由,Reason,riyuu
人気,Popularity,ninki
族,Group,zoku
作戦,Strategy,sakusen
円,Circle,en
勝つ,win,katsu
非常,Emergency,hijou
頭,Head,atama
音,sound,oto
除く,except,nozoku
デザイン,design,dezain
議会,Parliament,gikai
政,Government,matsurigoto
人間,Human beings,ningen
公式,official,koushiki
しか,Only,shika
編,Editing,hen
初期,initial,shoki
環境,environment,kankyou
星,Star,hoshi
流れる,Flow,nagare ru
彼女,She,kanojo
誌,magazine,shi
時点,Point in time,jiten
レース,race,reesu
通り,Street,touri
打,Hit,da
全体,Overall,zentai
自由,freedom,jiyuu
座,seat,za
労働,The labor,roudou
表示,display,hyouji
例えば,"For example,",tatoeba
和,sum,wa
発行,Issue,hakkou
自治,Autonomy,jichi
裁判,trial,saiban
方法,Method,houhou
支援,support,shien
共同,Joint,kyoudou
文字,letter,moji
その他,Otherwise,sono hoka
関連,Relation,kanren
新しい,new,atarashi i
国道,National highway,kokudou
左,left,hidari
スポーツ,Sport,supootsu
値,value,atai
広島,Hiroshima,kou shima
スペイン,Spain,supein
営業,Sales,eigyou
花,flower,hana
行,line,gyou
母,mother,haha
様,Mr,sama
輸送,transport,yusou
野,field,no
屋,Ya,ya
説,Theory,setsu
舞台,stage,butai
以前,Before,izen
方面,Direction,houmen
合併,merger,gappei
アジア,Asia,ajia
演奏,Performance,ensou
工業,Industry,kougyou
建築,Architecture,kenchiku
春,spring,haru
法人,Corporation,houjin
圏,Sphere,ken
街,A city,machi
いずれ,Either,izure
データ,data,deeta
送る,send,okuru
運用,Investment,unyou
高速,high speed,kousoku
一覧,List,ichiran
大正,Taisho,taishou
区間,section,kukan
能力,ability,nouryoku
支配,Domination,shihai
有名,Famous,yuumei
銀行,Bank,ginkou
新聞,newspaper,shinbun
翌年,following year,yokunen
空港,airport,kuukou
由来,Origin,yurai
競馬,Horseracing,keiba
学者,Scholar,gakusha
韓国,Korea,kankoku
自ずから,naturally,onozu kara
産業,industry,sangyou
整備,Maintenance,seibi
口,mouth,kuchi
史,History,shi
行政,Administration,gyousei
試験,test,shiken
明,Akira,mei
妻,wife,tsuma
ニューヨーク,New York,nyuuyooku
方式,method,houshiki
発展,development,hatten
枠,frame,waku
丸,Circle,maru
ジョン,John,jon
状況,Status,joukyou
基づく,Based on,motozu ku
主要,Primary,shuyou
既に,already,sudeni
変化,change,henka
神社,Shinto shrine,jinja
違う,Wrong,chigau
当,This,tou
右,right,migi
両,Both,ryou
対戦,Competition,taisen
制度,system,seido
広い,wide,hiroi
番号,number,bangou
戻る,Return,modoru
成立,Establishment,seiritsu
港,Harbor,minato
新,new,shin
通信,communication,tsuushin
内,The inner,nai
連載,Serialization,rensai
装置,apparatus,souchi
後半,Latter half,kouhan
頃,Time,goro
移動,Movement,idou
企画,Planning,kikaku
電気,Electricity,denki
平均,average,heikin
庁,Agency,chou
プレー,play,puree
掲載,Published,keisai
清,Kiyoshi,kiyoshi
祭,A festival,matsuri
民,people,tami
南部,Southern part,nanbu
サイト,site,saito
距離,distance,kyori
分類,Classification,bunrui
種類,type,shurui
スーパー,Supermarket,suupaa
男性,male,dansei
風,Wind,kaze
福岡,Fukuoka,fukuoka
状,Jo,jou
形成,Formation,keisei
階,Storey,kai
差,difference,sa
付近,near,fukin
師,Master,shi
言語,language,gengo
元年,First year,gannen
登録,Registration,touroku
物語,story,monogatari
まま,Leave,mama
工場,factory,koujou
主張,Claim,shuchou
大臣,The Ministry,daijin
含める,include,fukume ru
自然,Nature,shizen
装備,Equipment,soubi
丘,hill,oka
迎える,Welcome,mukae ru
属,Sp.,zoku
開く,open,hiraku
撮影,photograph,satsuei
系列,series,keiretsu
近い,near,chikai
以後,Thereafter,igo
事故,accident,jiko
正式,Official,seishiki
成績,Record,seiseki
旧,Old,kyuu
路,A road,michi
複数,Multiple,fukusuu
美術,art,bijutsu
雑誌,magazine,zasshi
論,Logical,ron
電車,Electric train,densha
初代,Founder,shodai
設ける,Provided,mouke ru
帯,band,obi
家,House,ie
述べる,Mention,nobe ru
写真,Photo,shashin
地球,Earth,chikyuu
政権,administration,seiken
蔵,Warehouse,kura
競走,race,kyousou
起こる,Occur,oko ru
惑星,Planet,wakusei
学ぶ,learn,manabu
県立,Prefectural,kenritsu
部門,Department,bumon
中継,relay,chuukei
王国,Kingdom,oukoku
末,End,matsu
千葉,Chiba,chiba
類,Kind,rui
表現,Expression,hyougen
動物,animal,doubutsu
司令,command,shirei
忠,Kiss,tadashi
鉄,iron,tetsu
製品,Products,seihin
支持,support,shiji
入れる,Put in,ire ru
ビル,building,biru
組む,Put together,kumu
病院,hospital,byouin
方,How to,hou
乗る,get on,noru
艦隊,fleet,kantai
経験,experience,keiken
秋,autumn,aki
地上,The ground,chijou
メートル,Meter,meetoru
竜,dragon,ryuu
指す,Designate,sasu
横浜,Yokohama,yokohama
復帰,return,fukki
語る,talk,kataru
条件,conditions,jouken
将軍,Shogun,shougun
ファン,fan,fan
敗れる,Be defeated,yabure ru
名古屋,Nagoya,nagoya
称する,Referred to as,shousuru
学生,student,gakusei
劇場,theater,gekijou
選出,Election,senshutsu
行動,Behavior,koudou
心,heart,kokoro
言葉,word,kotoba
クラス,class,kurasu
弾,Bullet,dan
久,Hisashi,kyuu
森,Woods,mori
紹介,Introduction,shoukai
客,Customer,kyaku
率いる,Lead,hikii ru
着る,Wear,kiru
少年,boy,shounen
失う,lose,ushinau
拡大,Enlargement,kakudai
姿,Appearance,sugata
尾,tail,o
政策,policy,seisaku
敵,enemy,teki
専用,designated,senyou
年頃,Age,nengoro
軍事,Military affairs,gunji
宮,Miya,miya
このよう,like this,konoyou
編集,Editing,henshuu
相手,Opponent,aite
大形,Large size,oogata
進出,Advance,shinshutsu
保,Guarantee,ho
イベント,Events,ibento
文学,literature,bungaku
着,Wearing,chaku
ダム,dam,damu
反対,Opposition,hantai
保護,protection,hogo
進める,Advance,susume ru
程,Degree,hodo
女,woman,onna
追加,add to,tsuika
湖,lake,mizuumi
俳優,Actor,haiyuu
メーカー,Manufacturer,meekaa
人々,people,hitobito
界,Field,kai
開業,Opening of business,kaigyou
林,Forest,hayashi
工事,Construction,kouji
継ぐ,Succeed,tsugu
現代,present day,gendai
表す,Express,arawasu
方向,direction,houkou
学部,Undergraduate,gakubu
確認,Verification,kakunin
立つ,stand,tatsu
記述,Descriptor,kijutsu
直接,Direct,chokusetsu
又は,Or,mataha
個人,Individual,kojin
事実,fact,jijitsu
統合,Integration,tougou
見せる,show,mise ru
オリジナル,original,orijinaru
配置,Arrangement,haichi
従来,Conventional,juurai
批判,Criticism,hihan
国立,National,kokuritsu
会長,President,kaichou
住む,live,sumu
定める,Establish,sadame ru
条約,Treaty,jouyaku
増加,increase,zouka
北部,North,hokubu
近年,recent years,kinnen
夫,husband,otto
唯一,Only,yuiitsu
業,Work,gyou
息子,son,musuko
決める,Decide,kime ru
候補,Candidate,kouho
過去,past,kako
映像,The video,eizou
普通,usually,futsuu
堂,Dou,dou
白,White,shiro
芸術,art,geijutsu
作家,Writer,sakka
パリ,Paris,pari
途中,En route,tochuu
相,phase,sou
取得,Acquisition,shutoku
字,Character,ji
戦後,After the war,sengo
効果,effect,kouka
地元,local,jimoto
得点,score,tokuten
トップ,Top,toppu
ライブ,live,raibu
僅か,Only,wazuka
章,chapter,shou
報告,report,houkoku
女優,actress,joyuu
朝鮮,Korea,chousen
標準,standard,hyoujun
集,Collection,shuu
吉,Luck,kichi
赤,Red,aka
項,Item,kou
ロンドン,London,rondon
観光,Tourism,kankou
目指す,aim,mezasu
コンピューター,computer,konpyuutaa
ソ連,The Soviet Union,so ren
器,vessel,utsuwa
離れる,Leave,hanare ru
べし,Shalt,beshi
声,voice,koe
防衛,defense,bouei
起こす,Cause,oko su
住民,residents,juumin
革命,revolution,kakumei
インド,India,indo
徳,Virtue,toku
電話,phone,denwa
直,straight,choku
各地,Various places,kakuchi
内閣,Cabinet,naikaku
限定,Limit,gentei
王座,throne,ouza
ロック,Lock,rokku
店舗,Shop,tenpo
新潟,Niigata,niigata
本線,Main line,honsen
黒,black,kuro
弟,Younger brother,otouto
波,wave,nami
博士,PhD,hakase
湾,bay,wan
規定,Provision,kitei
流,Flow,ryuu
核,The nucleus,kaku
外国,Foreign countries,gaikoku
ニュース,news,nyuusu
法律,law,houritsu
紀元,A.D.,kigen
太,Thick,ta
変わる,change,kawa ru
協力,Cooperation,kyouryoku
読む,Read,yomu
社長,The President,shachou
業務,business,gyoumu
集める,Gather,atsume ru
電子,Electron,denshi
低い,Low,hikui
市民,Citizen,shimin
不明,unknown,fumei
創設,Founding,sousetsu
楽曲,Musical composition,gakkyoku
台湾,Taiwan,taiwan
本名,Real name,honmyou
比べる,Compare,kurabe ru
欧州,Europe,oushuu
家族,family,kazoku
系統,system,keitou
自動,Auto,jidou
止まる,Stops,toma ru
速度,speed,sokudo
民族,People,minzoku
そのまま,As it is,sonomama
知,Knowledge,chi
夜,Night,yoru
余り,remainder,amari
オープン,open,oopun
現れる,appear,araware ru
分野,Field,bunya
勢力,power,seiryoku
伝える,Tell,tsutae ru
ソフト,soft,sofuto
統一,Unity,touitsu
生物,Creature,seibutsu
大,Big,dai
太平洋,Pacific Ocean,taiheiyou
ヒット,hit,hitto
超える,More than,koe ru
土地,land,tochi
制御,control,seigyo
動く,Move,ugoku
太郎,Taro,tarou
九州,Kyushu,kyuushuu
職,Job,shoku
歌手,singer,kashu
元々,originally,motomoto
段,Stage,dan
治,Osamu,osamu
市場,market,shijou
層,layer,sou
反応,reaction,hannou
表,table,omote
独自,Original,dokuji
親,parent,oya
記す,Note,shirusu
美,Beauty,bi
発電,Generation,hatsuden
改正,Amendment,kaisei
テーマ,theme,teema
空,Sky,sora
組合,Union,kumiai
参戦,Participation in a war,sansen
域,Pass,iki
処理,processing,shori
細胞,cell,saibou
分ける,Divide,wake ru
商品,Product,shouhin
性能,Ability,seinou
ポーランド,Poland,poorando
原因,Cause, genin
原作,Original work,gensaku
ライン,line,rain
安全,safety,anzen
改造,Remodeling,kaizou
カナダ,Canada,kanada
帝,Emperor,mikado
つつ,While,tsutsu
図る,Attempt,hakaru
愛,Love,ai
明らか,clear,akiraka
秒,Second,byou
仕事,jobs,shigoto
派遣,Dispatch,haken
特定,specific,tokutei
死,death,shi
定義,Definition,teigi
レコード,record,rekoodo
本部,Headquarters,honbu
実験,Experiment,jikken
毎年,Every year,maitoshi
タイプ,type,taipu
所在,Whereabouts,shozai
関東,Kanto,kantou
理論,theory,riron
管,tube,kan
接続,Connection,setsuzoku
神戸,Kobe,koube
通称,Alias,tsuushou
破壊,Destruction,hakai
実現,Realization,jitsugen
化学,Chemistry,kagaku
所有,Ownership,shoyuu
ベース,base,beesu
反,Opposite,han
兄,Brother,ani
連盟,League,renmei
米国,USA,beikoku
拠点,Hub,kyoten
師団,Division,shidan
主人公,hero,shujinkou
全く,Entirely,mattaku
私,I,watashi
トン,Ton,ton
基地,base,kichi
質,quality,shitsu
建てる,build,tate ru
成長,growth,seichou
面積,area,menseki
神奈川,Kanagawa,kanagawa
今,now,ima
同盟,alliance,doumei
発,Departure,hatsu
記,Record,ki
軌道,Orbit,kidou
逆,Reverse,gyaku
通ずる,Leads,tsuuzu ru
オランダ,Netherlands,oranda
貢献,Contribution,kouken
備える,Prepare for,sonae ru
障害,Obstacle,shougai
商業,Commerce,shougyou
計,Total,kei
雄,Male,osu
愛知,Aichi,aichi
源,source,gen
ブランド,brand,burando
購入,Purchase,kounyuu
直後,Immediately following,chokugo
行為,action,koui
利,Interest,ri
松,Pine tree,matsu
山口,Yamaguchi,yamaguchi
教,Professor,kyou
東北,Northeast,touhoku
朝日,Morning sun,asahi
走る,Run,hashiru
ステージ,stage,suteeji
作成,Creating,sakusei
被害,damage,higai
機構,mechanism,kikou
本社,head office,honsha
海外,overseas,kaigai
原子,atom,genshi
住宅,Housing,juutaku
代わる,replace,kawa ru
達成,Achievement,tassei
沖縄,Okinawa,okinawa
働く,work,hataraku
ベスト,Best,besuto
歌う,sing,utau
改革,reform,kaikaku
首都,capital,shuto
守,Mamoru,shu
高,High,taka
仕様,specification,shiyou
聖,St.,hijiri
誕生,birth,tanjou
古,Antiquity,ko
スタジオ,studio,sutajio
入学,admission,nyuugaku
ビデオ,video,bideo
ツアー,Tours,tsuaa
移る,Move,utsuru
従う,Follow,shitagau
刊行,Publication,kankou
男子,Boy,danshi
学園,Campus,gakuen
ポイント,point,pointo
節,section,fushi
盤,Board,ban
建物,building,tatemono
コーナー,corner,koonaa
皇帝,Emperor,koutei
作業,work,sagyou
上がる,Go up,aga ru
兄弟,Brother,kyoudai
相当,Equivalent,soutou
オーストラリア,Australia,oosutoraria
植物,plant,shokubutsu
紙,paper,kami
集団,Group,shuudan
慶,Kei,yoshi
通,Through,toori
投票,Vote,touhyou
敗,Loses,hai
ネット,Net,netto
単位,unit, tani
並ぶ,line up,narabu
維持,Maintenance,iji
解散,Dissolution,kaisan
切る,Cut,kiru
形態,form,keitai
郵便,Post,yuubin
関西,Kansai,kansai
説明,Description,setsumei
康,Yasushi,yasushi
仙台,Sendai,sendai
藩主,Feudal lord,han shu
減少,Decrease,genshou
静岡,Shizuoka,shizuoka
孫,Grandson,mago
移転,transfer,iten
交換,Exchange,koukan
目,Eye,me
経由,via,keiyu
復活,Resurrection,fukkatsu
貨物,cargo,kamotsu
現役,Active duty, geneki
主演,starring,shuen
死亡,death,shibou
伝統,Tradition,dentou
酸,acid,san
ポジション,position,pojishon
跡,Mark,ato
銀,Silver,gin
メダル,Medal,medaru
見える,appear,mie ru
要求,request,youkyuu
制限,Restriction,seigen
図,Drawing,zu
機体,Aircraft,kitai
共通,Common,kyoutsuu
農業,Agriculture,nougyou
公演,Public performance,kouen
プレーヤー,player,pureeyaa
記事,article,kiji
選択,Choice,sentaku
予選,Preliminary contest,yosen
レベル,level,reberu
福島,Fukushima,fukushima
向上,Improvement,koujou
イングランド,England,ingurando
府,Cabinet Office,fu
憲法,Constitution,kenpou
要素,element,youso
売る,sell,uru
幕府,Shogunate,bakufu
任務,mission,ninmu
収める,Reap,osame ru
仁,Benevolence,hitoshi
車体,The body,shatai
デジタル,Digital,dejitaru
園,Garden,sono
プロジェクト,project,purojiekuto
報道,Report,houdou
史上,Historical,shijou
追う,Chase,ou
大陸,Continent,tairiku
沢,Swamp,sawa
広,Wide,kou
観測,Observation,kansoku
西部,Western part,seibu
役割,role,yakuwari
定,Constant,tei
古い,old,furui
順,order,jun
津,Tsu,tsu
すぐ,soon,sugu
都,Capital,miyako
入団,He joined,nyuudan
兼,and,ken
葉,leaf,ha
体制,System,taisei
秀,Xiu,shuu
有する,With,yuusu ru
基準,Standard,kijun
井,well,i
長野,Nagano,nagano
占める,Occupy,shime ru
命令,order,meirei
便,Flight,bin
刃,blade,ha
メーン,Maine,meen
首相,Prime Minister,shushou
足,leg,ashi
一重,Single,hitoe
限る,Limit,kagiru
プログラム,program,puroguramu
引く,Pull,hiku
宣言,Declaration,sengen
よ,,yo
里,Village,sato
亡くなる,Die,naku naru
気,Care,ki
訓練,Drill,kunren
江,Jiang,kou
レギュラー,regular,regyuraa
建造,Building,kenzou
古代,Ancient,kodai
宗教,religion,shuukyou
失敗,Error,shippai
手掛ける,Handle,tegake ru
深い,deep,fukai
多,Multi,ta
やる,do,yaru
地下,underground,chika
係る,Related,kakaru
衆議院,House of Representatives,shuugiin
コース,course,koosu
天文,Astronomy,tenmon
属す,It belongs,zokusu
記載,Described,kisai
身,Body,mi
岡山,Okayama,okayama
もう,Already,mou
スタート,start,sutaato
内部,internal,naibu
繋がる,Lead,tsunaga ru
投手,pitcher,toushu
旅客,passenger,ryokyaku
温泉,Hot Springs,onsen
戸,door,ko
半島,Peninsula,han shima
因む,Named after,chinamu
